ITEM NAME, QTY, PRICE (CAD), PRICE (USD), LINK, USE
ELEGOO Arduino Nano, x1, $33, $23.68, https://www.amazon.ca/ELEGOO-Pre-soldered-ATmega-Compatible-Arduino/dp/B0D5LYFRQP/ref=sr_1_2_sspa?crid=LIVPRKVWZCKQ&dib=eyJ2IjoiMSJ9.qW4RO0YuJFsryiqLau30b8iy0VjwYg3V2vo3YS6uOn7WJ8sSMLAfq_7IkWQYdqdMzxfvCoq1rMRcL2UhhCXvxHveyYgSeLXcbdQb8Msbv6yuFr45plaCz56dHY0PYblBPLJsRjYbfsTAoS-NvVViaDFwgOw2nLcTIMr449pRV6j8GtC-oo2UbDp-dY5TqdG-H4TpnR_Ed-t8o7oH_3gaM1thOCSsumGpLIwd4eaE8LtaHqNF9QTPYCbKfaLCZINiMH_qhUR49GD0lcVYPVMvhWt411WviXpzpaeMbomd7BU.viSK_MhWbk9DFlIYSQGf6IQ2xV7ghxzGQY39kBAu79I&dib_tag=se&keywords=arduino+nano&qid=1786391222&sprefix=arduino+nano%2Caps%2C222&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1, The Arduino board used for the rover (Comes in a pack of three)
DC Hobby Motors, x4, $19, $13.63, amazon.ca/ACEIRMC-Electric-Magnetic-Engine，DIY-Vibration/dp/B0BRKJ6GGW/ref=sr_1_5?crid=2YZJ8775AR3CX&dib=eyJ2IjoiMSJ9.ibRdT0R0Rb2l1WXsH1OIOvyFGVatOnsJ2ho8L5T-67vuMQHL12me5g1AL21aIF2raoBZpHuHbEop2nN2cFKv8K26X4gE3s5VmPqXe29pg5b1of8hEzCeKS8isP0z2Jn9ENkTp4EOOf-70sGnywpApxHxq3njmgaCiRPP74vvyIrLby1uoWgIwR9U7kU9LkKfyODIvwTExlnsDBYKlhFo2FIfF79Q6rrvyW_HKC1wfHpn1I5mCptv2o2Emr8_DiRBR5N3qJBsMUb4vpIxkcs5hhCnkDhxJQQ7TBiIt-hLMbk.PLyXKBoNKJjWkB3eZMUumTG2-dRLdBe_6cnfq-FORGQ&dib_tag=se&keywords=hobby+motors&qid=1786391410&sprefix=hobby+motors%2Caps%2C142&sr=8-, Comes in pack of 8
L298N Motor Driver, x1, $13, $9.33, https://www.amazon.ca/Controller-Module-Bridge-Stepper-Arduino/dp/B0D4H7423T/ref=sr_1_5?crid=2Z18M8U84KDEB&dib=eyJ2IjoiMSJ9.130Nqkyh4fg2KRYPdhWLBuCgBUWh-SLpL6DIp3uQY4sZeMh61xIjXiYMQJ84tMMClCzG6EbV2phh6Yb5HeTinhYPbwMb5Qq8S6Bdp35u-z7oHXwDDPoUlPZl99k5eOweEvYV8S4omvZV5JZV7gRPilTipE9TfbrmqkBq2xdWzElhf3juLYHPVOfZ33dq0v6Uvy0IjTN9yWGasQDyybnGAWfkh17fgmu2FKArYI6Kce6n8fc4O9f22ZzbnJ7qBpLWRCTuVEkVMwCr0AHVraHYrcdPd1vlUdsb8GB0YGxIoUE.dtgNBHiZsi9YbkB4pWqe-dpA-kKXs46Df5u9ncr2DXE&dib_tag=se&keywords=motor%2Bdriver&qid=1786391561&sprefix=motor%2Bdriver%2Caps%2C147&sr=8-5&th=1, Comes in pack of 3
HC-05 Bluetooth module, x1, $6.90, $5, https://www.universal-solder.ca/product/hc-05-bluetooth-module-master-slave/?wmc-currency=CAD, The bluetooth module used for the rover
9v to 5v buck converter, x1, $14, $10, https://www.amazon.ca/Converter-Voltage-Regulator-5V-5-3V-Transformer/dp/B0G64BJVT7/ref=sr_1_13?crid=2GR8KTEZ7VAO3&dib=eyJ2IjoiMSJ9.v7jfITm4NLA9cfVdMqv2gsayHHY8sphXbOvcW-HPsn6qvo5ZsHnbGJIHMPABsutkAvCTFwIuCIN9TAd7Dzb6zJjkpt6z44giI530i2NjxZyGjJsWHSUHBJKGQFQzvvjSeb1gIH1pe5kTxfVr6ylbxp6E8nqIs2sPyKk_ohZnGEbGO7gG3KL91wbOb3YGvcqB8BFqRSGwVDPfb_cQYRfhpW6eMVuha9mccx9eiQoIyU0Tdb27VTX6z7OY9qzRfZiWZyeJPyJ2LGd1PkZUyJDTN_ttv_io97SdMgqxZheBgEw.1q970u6H5mgnzFHn8TAXYu-81h0M7x6veEv8C2hRim8&dib_tag=se&keywords=9v+to+5v&qid=1786719760&sprefix=9v+to+5v%2Caps%2C125&sr=8-13, Comes in pack of 2
Ultrasonic sensor, x2, $4, $2.88, https://www.universal-solder.ca/product/hc-sr04-ultrasonic-distance-sensor-module-2cm-400cm-range/, Buy two packs of one
IR sensor, x2, $12, $8.65, https://www.amazon.ca/Infrared-Obstacle-Avoidance-Detecting-Adjutable/dp/B07D3PHQT8/ref=sr_1_22_sspa?crid=2WFAMYOO51JXD&dib=eyJ2IjoiMSJ9.VVvO_MMKSik9mziuUM-GpcsQddAUATDYMrIKydFZB3ssQ3eYnsKTE0BGQIXwdhyqPSY_0YnWSELLSiKFUR0EON8wKF8-zT6pnkOYf9-zMcJY9Fn38QSPXbwiQbTkL3LD7LPUaBPf8vCeZBOW19KMVmGuIJMzQPI-oF_4tY6ofmGIgVelXhI_gg-Z6olHO6vUE3YkkxOF20CnUSgmcjRJc6KyEQzlIW2RSROQFlOt0kPtn2XzxgpX9gtBvC3cDrMawDG2TOmU7KAzrBZKL9LBKGA_rS6-KhEaJRR0FS0NLiw.7E8P3vb8713LGYFOgdq72vvlubrUMw9a7J_eadGBbRA&dib_tag=se&keywords=ir+sensor&qid=1786720045&sprefix=ir+sensor%2Caps%2C123&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1, Comes in pack of 5
220 Ω resistor, x1, $8, $5.75, amazon.ca/Resistor-Tolerance-Resistors-Limiting-Certificated/dp/B08QRYCNVT/ref=sr_1_18?crid=1ZNG8C29WR9S1&dib=eyJ2IjoiMSJ9.Y3UsUG-XUYbVulbZgvouVg2iemSRFTYX127bhk88f1vC2DLh2THwPR46_uZCtvj8gSgItdQhTNzMgmMqgqnCunCKF2Y-vgj3fcHUE9MhutGpa9jA5VpY8tu_z2-tom75YCnph4qiWj301e9TzDDLm7ZYwX4LLWC1v4TxUuJzOVghotqkeguNkRh5ADITbcPuRX5q79hj6-0KcIB1tWyT4Ntb83Vou08RiEKHDQ65S8A1g9hu4OPssf2nCRnUFh_NXDSbKePuIIAzBtDnGzEqSDdNgZz57yE7BNR0kr4mUpg.gYDQXOA3Ba8z9hFeP3UCGAXTIaDecplUhK5aNuT2HZM&dib_tag=se&keywords=220+Ω+resistor&qid=1786720276&sprefix=220+ω+resistor%2Caps%2C123&sr=8-18, Pack of 100,
Photoresistor, x1, $1.61, $1.16, https://www.amazon.ca/dp/B09ZTQL935/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B09ZTQL935&pd_rd_w=LNRKE&content-id=amzn1.sym.74d8946d-6fd5-4629-bffd-b0df65e80145&pf_rd_p=74d8946d-6fd5-4629-bffd-b0df65e80145&pf_rd_r=EF9Z2CE755N2EH8KH4T9&pd_rd_wg=PDUkh&pd_rd_r=8bdfeb4e-f817-4e1e-9683-fd0c72104751&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw, Pack of 20
Yellow LED, x2, $4, $2.88, https://www.universal-solder.ca/product/100-x-led-yellow-3mm-round-tinted-clear-standard-package-t-1/, Pack of 100
