ITEM NAME                , QTY, PRICE (CAD), PRICE (USD), LINK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , NOTES
ELEGOO Arduino Nano      , x1 , $33        , $23.68     , https://www.amazon.ca/ELEGOO-Pre-soldered-ATmega-Compatible-Arduino/dp/B0D5LYFRQP/ref=sr_1_2_sspa?crid=LIVPRKVWZCKQ&dib=eyJ2IjoiMSJ9.qW4RO0YuJFsryiqLau30b8iy0VjwYg3V2vo3YS6uOn7WJ8sSMLAfq_7IkWQYdqdMzxfvCoq1rMRcL2UhhCXvxHveyYgSeLXcbdQb8Msbv6yuFr45plaCz56dHY0PYblBPLJsRjYbfsTAoS-NvVViaDFwgOw2nLcTIMr449pRV6j8GtC-oo2UbDp-dY5TqdG-H4TpnR_Ed-t8o7oH_3gaM1thOCSsumGpLIwd4eaE8LtaHqNF9QTPYCbKfaLCZINiMH_qhUR49GD0lcVYPVMvhWt411WviXpzpaeMbomd7BU.viSK_MhWbk9DFlIYSQGf6IQ2xV7ghxzGQY39kBAu79I&dib_tag=se&keywords=arduino+nano&qid=1786391222&sprefix=arduino+nano%2Caps%2C222&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1, The Arduino board used for the rover (Comes in a pack of three)
DC Hobby Motors          , x4 , $6.59      , $4.70      , https://www.aliexpress.com/item/1005007259961932.html?spm=a2g0o.productlist.main.15.20ea32286JIPSi&algo_pvid=8a712bff-3023-42ad-8172-65b6e4b477a8&algo_exp_id=8a712bff-3023-42ad-8172-65b6e4b477a8-14&pdp_ext_f=%7B%22order%22%3A%22471%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%216.59%216.58%21%21%2131.29%2131.24%21%4021030cd817869988321333183e0cdc%2112000039978466952%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4e1993a%3Bm03_new_user%3A-29895%3BpisId%3A5000000211455027&curPageLogUid=3GHzVCjkyNWu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007259961932%7C_p_origin_prod%3A,
L298N Motor Driver       , x1 , $2.15      , $1.15      , https://www.aliexpress.com/item/1005012608321443.html?spm=a2g0o.productlist.main.2.3dc22000FvqBiT&algo_pvid=e3e82d1d-2444-40da-b42d-ea9c00b3970b&algo_exp_id=e3e82d1d-2444-40da-b42d-ea9c00b3970b-1&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.15%211.96%21%21%2110.23%219.31%21%402103081117869990306876985e0ea9%2112000058857908264%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4e1993a%3Bm03_new_user%3A-29895&curPageLogUid=qde4YQvOVEFc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012608321443%7C_p_origin_prod%3A,
HC-05 Bluetooth module   , x1 , $6.90      , $5         , https://www.universal-solder.ca/product/hc-05-bluetooth-module-master-slave/?wmc-currency=CAD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , The bluetooth module used for the rover
9v to 5v buck converter  , x1 , $4.84      , $3.49      , https://www.aliexpress.com/item/1005010708910916.html?spm=a2g0o.productlist.main.49.4683411bJQB49T&algo_pvid=175dc0da-0232-4635-b7f3-90d06269db97&algo_exp_id=175dc0da-0232-4635-b7f3-90d06269db97-48&pdp_ext_f=%7B%22order%22%3A%22895%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2110.83%214.84%21%21%2151.46%2122.99%21%40210327ef17869991892651378e0d32%2112000053260959705%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4e1993a%3Bm03_new_user%3A-29895%3BpisId%3A5000000215431818&curPageLogUid=JJSdtcwAG0Vo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010708910916%7C_p_origin_prod%3A, 
Ultrasonic sensor        , x2 , $4         , $2.88      , https://www.universal-solder.ca/product/hc-sr04-ultrasonic-distance-sensor-module-2cm-400cm-range/                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Buy two                                            
IR sensor                , x2 , $1.12      , $0.81      , https://www.aliexpress.com/item/1005009143740555.html?spm=a2g0o.productlist.main.19.532f75593oOqoK&algo_pvid=b7026362-3640-4e1c-b08b-ffc28dc27210&algo_exp_id=b7026362-3640-4e1c-b08b-ffc28dc27210-18&pdp_ext_f=%7B%22order%22%3A%22302%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.12%210.95%21%21%210.79%210.67%21%402101de2517869992975282361e0c59%2112000059729027802%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4e1993a%3Bm03_new_user%3A-29895&curPageLogUid=lEQn0PeL5ev5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009143740555%7C_p_origin_prod%3A , Buy two
220 Ω resistor           , x1 , $4.27      , $3.08      , https://www.aliexpress.com/item/1005011767578775.html?spm=a2g0o.productlist.main.2.51d9txO1txO1YJ&algo_pvid=d6179486-a371-4a0c-b9d6-2bcd54cdbd8a&algo_exp_id=d6179486-a371-4a0c-b9d6-2bcd54cdbd8a-1&pdp_ext_f=%7B%22order%22%3A%221468%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.27%211.40%21%21%2120.29%216.63%21%40210328c017869994159455516e0fe8%2112000056498243073%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac4e1993a%3Bm03_new_user%3A-29895%3BpisId%3A5000000210902393&curPageLogUid=LDdDC600lY9L&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011767578775%7C_p_origin_prod%3A, Pack of 20                                                   
Photoresistor            , x1 , $1.61      , $1.16      , https://www.amazon.ca/dp/B09ZTQL935/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B09ZTQL935&pd_rd_w=LNRKE&content-id=amzn1.sym.74d8946d-6fd5-4629-bffd-b0df65e80145&pf_rd_p=74d8946d-6fd5-4629-bffd-b0df65e80145&pf_rd_r=EF9Z2CE755N2EH8KH4T9&pd_rd_wg=PDUkh&pd_rd_r=8bdfeb4e-f817-4e1e-9683-fd0c72104751&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw                                                                                                                                                                                                                                                                                             , Pack of 20
Yellow LED               , x2 , $4         , $2.88      , https://www.universal-solder.ca/product/100-x-led-yellow-3mm-round-tinted-clear-standard-package-t-1/                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Pack of 100
